forward : x : 0.304322 | y : 0.173648 | z : 0.936608
eye : x : 22 | y : 4 | z : 4
at : x : 22.3043 | y : 4.17365 | z : 4.93661
forward : x : 0.320622 | y : 0.173648 | z : 0.931154
eye : x : 22 | y : 4 | z : 4
at : x : 22.3206 | y : 4.17365 | z : 4.93115
forward : x : 0.320622 | y : 0.173648 | z : 0.931154
eye : x : 22 | y : 4 | z : 4
at : x : 22.3206 | y : 4.17365 | z : 4.93115
forward : x : 0.320622 | y : 0.173648 | z : 0.931154
eye : x : 22 | y : 4 | z : 4
at : x : 22.3206 | y : 4.17365 | z : 4.93115
forward : x : 0.320622 | y : 0.173648 | z : 0.931154
eye : x : 22 | y : 4 | z : 4
at : x : 22.3206 | y : 4.17365 | z : 4.93115
forward : x : 0.320622 | y : 0.173648 | z : 0.931154
eye : x : 22 | y : 4 | z : 4
at : x : 22.3206 | y : 4.17365 | z : 4.93115
forward : x : 0.320622 | y : 0.173648 | z : 0.931154
eye : x : 22 | y : 4 | z : 4
at : x : 22.3206 | y : 4.17365 | z : 4.93115
forward : x : 0.320622 | y : 0.173648 | z : 0.931154
eye : x : 22 | y : 4 | z : 4
at : x : 22.3206 | y : 4.17365 | z : 4.93115
forward : x : 0.320622 | y : 0.173648 | z : 0.931154
eye : x : 22 | y : 4 | z : 4
at : x : 22.3206 | y : 4.17365 | z : 4.93115
forward : x : 0.368916 | y : 0.173648 | z : 0.913098
eye : x : 22 | y : 4 | z : 4
at : x : 22.3689 | y : 4.17365 | z : 4.9131
forward : x : 0.368916 | y : 0.173648 | z : 0.913098
eye : x : 22 | y : 4 | z : 4
at : x : 22.3689 | y : 4.17365 | z : 4.9131
forward : x : 0.368916 | y : 0.173648 | z : 0.913098
eye : x : 22 | y : 4 | z : 4
at : x : 22.3689 | y : 4.17365 | z : 4.9131
forward : x : 0.431711 | y : 0.173648 | z : 0.885139
eye : x : 22 | y : 4 | z : 4
at : x : 22.4317 | y : 4.17365 | z : 4.88514
forward : x : 0.492404 | y : 0.173648 | z : 0.852868
eye : x : 22 | y : 4 | z : 4
at : x : 22.4924 | y : 4.17365 | z : 4.85287
forward : x : 0.536365 | y : 0.173648 | z : 0.825929
eye : x : 22 | y : 4 | z : 4
at : x : 22.5364 | y : 4.17365 | z : 4.82593
forward : x : 0.550698 | y : 0.173648 | z : 0.816443
eye : x : 22 | y : 4 | z : 4
at : x : 22.5507 | y : 4.17365 | z : 4.81644
forward : x : 0.550698 | y : 0.173648 | z : 0.816443
eye : x : 22 | y : 4 | z : 4
at : x : 22.5507 | y : 4.17365 | z : 4.81644
forward : x : 0.550698 | y : 0.173648 | z : 0.816443
eye : x : 22 | y : 4 | z : 4
at : x : 22.5507 | y : 4.17365 | z : 4.81644
forward : x : 0.550698 | y : 0.173648 | z : 0.816443
eye : x : 22 | y : 4 | z : 4
at : x : 22.5507 | y : 4.17365 | z : 4.81644
forward : x : 0.550698 | y : 0.173648 | z : 0.816443
eye : x : 22 | y : 4 | z : 4
at : x : 22.5507 | y : 4.17365 | z : 4.81644
forward : x : 0.550698 | y : 0.173648 | z : 0.816443
eye : x : 22 | y : 4 | z : 4
at : x : 22.5507 | y : 4.17365 | z : 4.81644
forward : x : 0.550698 | y : 0.173648 | z : 0.816443
eye : x : 22 | y : 4 | z : 4
at : x : 22.5507 | y : 4.17365 | z : 4.81644
forward : x : 0.550698 | y : 0.173648 | z : 0.816443
eye : x : 22 | y : 4 | z : 4
at : x : 22.5507 | y : 4.17365 | z : 4.81644
forward : x : 0.550698 | y : 0.173648 | z : 0.816443
eye : x : 22 | y : 4 | z : 4
at : x : 22.5507 | y : 4.17365 | z : 4.81644
forward : x : 0.550698 | y : 0.173648 | z : 0.816443
eye : x : 22 | y : 4 | z : 4
at : x : 22.5507 | y : 4.17365 | z : 4.81644
forward : x : 0.564863 | y : 0.173648 | z : 0.806707
eye : x : 22 | y : 4 | z : 4
at : x : 22.5649 | y : 4.17365 | z : 4.80671
forward : x : 0.564863 | y : 0.173648 | z : 0.806707
eye : x : 22 | y : 4 | z : 4
at : x : 22.5649 | y : 4.17365 | z : 4.80671
forward : x : 0.564863 | y : 0.173648 | z : 0.806707
eye : x : 22 | y : 4 | z : 4
at : x : 22.5649 | y : 4.17365 | z : 4.80671
forward : x : 0.564863 | y : 0.173648 | z : 0.806707
eye : x : 22 | y : 4 | z : 4
at : x : 22.5649 | y : 4.17365 | z : 4.80671
forward : x : 0.564863 | y : 0.173648 | z : 0.806707
eye : x : 22 | y : 4 | z : 4
at : x : 22.5649 | y : 4.17365 | z : 4.80671
forward : x : 0.564863 | y : 0.173648 | z : 0.806707
eye : x : 22 | y : 4 | z : 4
at : x : 22.5649 | y : 4.17365 | z : 4.80671
forward : x : 0.564863 | y : 0.173648 | z : 0.806707
eye : x : 22 | y : 4 | z : 4
at : x : 22.5649 | y : 4.17365 | z : 4.80671
forward : x : 0.564863 | y : 0.173648 | z : 0.806707
eye : x : 22 | y : 4 | z : 4
at : x : 22.5649 | y : 4.17365 | z : 4.80671
forward : x : 0.564863 | y : 0.173648 | z : 0.806707
eye : x : 22 | y : 4 | z : 4
at : x : 22.5649 | y : 4.17365 | z : 4.80671
forward : x : 0.564863 | y : 0.173648 | z : 0.806707
eye : x : 22 | y : 4 | z : 4
at : x : 22.5649 | y : 4.17365 | z : 4.80671
forward : x : 0.564863 | y : 0.173648 | z : 0.806707
eye : x : 22 | y : 4 | z : 4
at : x : 22.5649 | y : 4.17365 | z : 4.80671
forward : x : 0.566515 | y : 0.156434 | z : 0.809067
eye : x : 22 | y : 4 | z : 4
at : x : 22.5665 | y : 4.15643 | z : 4.80907
forward : x : 0.566515 | y : 0.156434 | z : 0.809067
eye : x : 22 | y : 4 | z : 4
at : x : 22.5665 | y : 4.15643 | z : 4.80907
forward : x : 0.567994 | y : 0.139173 | z : 0.81118
eye : x : 22 | y : 4 | z : 4
at : x : 22.568 | y : 4.13917 | z : 4.81118
forward : x : 0.567994 | y : 0.139173 | z : 0.81118
eye : x : 22 | y : 4 | z : 4
at : x : 22.568 | y : 4.13917 | z : 4.81118
forward : x : 0.569301 | y : 0.121869 | z : 0.813046
eye : x : 22 | y : 4 | z : 4
at : x : 22.5693 | y : 4.12187 | z : 4.81305
forward : x : 0.570434 | y : 0.104528 | z : 0.814665
eye : x : 22 | y : 4 | z : 4
at : x : 22.5704 | y : 4.10453 | z : 4.81466
forward : x : 0.571394 | y : 0.0871556 | z : 0.816035
eye : x : 22 | y : 4 | z : 4
at : x : 22.5714 | y : 4.08716 | z : 4.81603
forward : x : 0.572179 | y : 0.0697562 | z : 0.817157
eye : x : 22 | y : 4 | z : 4
at : x : 22.5722 | y : 4.06976 | z : 4.81716
forward : x : 0.57279 | y : 0.052336 | z : 0.818029
eye : x : 22 | y : 4 | z : 4
at : x : 22.5728 | y : 4.05234 | z : 4.81803
forward : x : 0.573227 | y : 0.0348995 | z : 0.818653
eye : x : 22 | y : 4 | z : 4
at : x : 22.5732 | y : 4.0349 | z : 4.81865
forward : x : 0.573489 | y : 0.0174525 | z : 0.819027
eye : x : 22 | y : 4 | z : 4
at : x : 22.5735 | y : 4.01745 | z : 4.81903
forward : x : 0.573489 | y : 0.0174525 | z : 0.819027
eye : x : 22 | y : 4 | z : 4
at : x : 22.5735 | y : 4.01745 | z : 4.81903
forward : x : 0.573489 | y : 0.0174525 | z : 0.819027
eye : x : 22 | y : 4 | z : 4
at : x : 22.5735 | y : 4.01745 | z : 4.81903
forward : x : 0.573489 | y : 0.0174525 | z : 0.819027
eye : x : 22 | y : 4 | z : 4
at : x : 22.5735 | y : 4.01745 | z : 4.81903
forward : x : 0.573489 | y : 0.0174525 | z : 0.819027
eye : x : 22 | y : 4 | z : 4
